Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Nikola Jokic (40675900),Nikola Jokic,40675900,C/UTIL,12000,MIA@DEN 11/05/2025 09:00PM ET,DEN,65.38
PF,Anthony Davis (40675902),Anthony Davis,40675902,PF/F/UTIL,10300,NOP@DAL 11/05/2025 08:30PM ET,DAL,42.85
PG,Cade Cunningham (40675905),Cade Cunningham,40675905,PG/G/UTIL,10200,UTA@DET 11/05/2025 07:00PM ET,DET,48.61
PG,Tyrese Maxey (40675908),Tyrese Maxey,40675908,PG/G/UTIL,10000,PHI@CLE 11/05/2025 07:00PM ET,PHI,59.14
PF,Pascal Siakam (40675911),Pascal Siakam,40675911,PF/F/UTIL,9500,BKN@IND 11/05/2025 07:00PM ET,IND,48.96
C,Alperen Sengun (40675914),Alperen Sengun,40675914,C/UTIL,9400,HOU@MEM 11/05/2025 08:00PM ET,HOU,49.79
SG,Donovan Mitchell (40675916),Donovan Mitchell,40675916,SG/G/UTIL,9200,PHI@CLE 11/05/2025 07:00PM ET,CLE,43
PF,Evan Mobley (40675919),Evan Mobley,40675919,PF/F/UTIL,9100,PHI@CLE 11/05/2025 07:00PM ET,CLE,44.36
PG,Ja Morant (40675925),Ja Morant,40675925,PG/G/UTIL,9000,HOU@MEM 11/05/2025 08:00PM ET,MEM,36.75
PF,Julius Randle (40675922),Julius Randle,40675922,PF/F/UTIL,9000,MIN@NYK 11/05/2025 07:30PM ET,MIN,47.43
PF,Zion Williamson (40675931),Zion Williamson,40675931,PF/F/UTIL,8900,NOP@DAL 11/05/2025 08:30PM ET,NOP,41.2
PF,Karl-Anthony Towns (40675928),Karl-Anthony Towns,40675928,PF/F/UTIL,8900,MIN@NYK 11/05/2025 07:30PM ET,NYK,45.79
SG,Anthony Edwards (40675934),Anthony Edwards,40675934,SG/G/UTIL,8900,MIN@NYK 11/05/2025 07:30PM ET,MIN,35.5
PG,Jalen Brunson (40675937),Jalen Brunson,40675937,PG/G/UTIL,8800,MIN@NYK 11/05/2025 07:30PM ET,NYK,44.21
PF/C,Bam Adebayo (40675940),Bam Adebayo,40675940,PF/C/F/UTIL,8600,MIA@DEN 11/05/2025 09:00PM ET,MIA,42.5
PG,Tyler Herro (40675944),Tyler Herro,40675944,PG/G/UTIL,8600,MIA@DEN 11/05/2025 09:00PM ET,MIA,0
SF,Kevin Durant (40675947),Kevin Durant,40675947,SF/F/UTIL,8500,HOU@MEM 11/05/2025 08:00PM ET,HOU,40.62
SF,Jaylen Brown (40675950),Jaylen Brown,40675950,SF/F/UTIL,8400,WAS@BOS 11/05/2025 07:30PM ET,BOS,40.09
PF,Jaren Jackson Jr. (40675953),Jaren Jackson Jr.,40675953,PF/F/UTIL,8200,HOU@MEM 11/05/2025 08:00PM ET,MEM,30.28
SF,Lauri Markkanen (40675956),Lauri Markkanen,40675956,SF/F/UTIL,8100,UTA@DET 11/05/2025 07:00PM ET,UTA,46.61
PG,Darius Garland (40675959),Darius Garland,40675959,PG/G/UTIL,8000,PHI@CLE 11/05/2025 07:00PM ET,CLE,0
PG,Jamal Murray (40675962),Jamal Murray,40675962,PG/G/UTIL,7700,MIA@DEN 11/05/2025 09:00PM ET,DEN,41.58
